gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	mean_core_concordance	complexity_rank
CDC42BPA	20	0	0	20	0	0.0	0.0	0.0		185
ZBBX	20	0	0	20	0	0.0	0.0	0.0		186
SLC39A8	20	0	0	20	0	0.0	0.0	0.0		187
PGM5	19	0	0	19	0	0.0	0.0	0.0		188
LTBR	20	0	0	20	0	0.0	0.0	0.0		189
PAQR9	20	0	0	20	0	0.0	0.0	0.0		190
MALRD1	20	0	0	20	0	0.0	0.0	0.0		191
LCA5L	20	0	0	20	0	0.0	0.0	0.0		192
SCARF1	20	0	0	20	0	0.0	0.0	0.0		193
NCKAP5L	20	0	0	20	0	0.0	0.0	0.0		194
ZNF710	20	0	0	20	0	0.0	0.0	0.0		195
RBM11	14	0	0	14	0	0.0	0.0	0.0		196
KDM7A	20	0	0	20	0	0.0	0.0	0.0		197
SLITRK1	20	0	0	20	0	0.0	0.0	0.0		198
C5orf58	20	0	0	20	0	0.0	0.0	0.0		199
TRIM22	15	0	0	15	0	0.0	0.0	0.0		200
