gene	srci	threshold_stability	n_enhancers	n_core_strict	n_regional_strict	n_regional_domains_strict	regional_evidence_strict	domain_diversity_strict	n_q01_enhancers	min_enhancer_q	rna_mean	rna_detected_fraction	srci_rank	confirmed_mixed	threshold_stable_mixed	above_elbow
creb3l1	0.08645848886934729	1	20	0	6	3	0.0942043161013186	0.8649735207179272	9	0.025	1.5479699409508152	0.5301001112347052	63	False	False	False
rxraa	0.0864201915892953	1	20	0	6	3	0.0687106894388209	0.8649735207179272	14	0.0428571428571428	0.7268367026214311	0.4047163515016685	64	False	False	False
ephb3a	0.08490839118898069	3	20	0	4	2	0.0664333716232573	1.0	4	0.05	8.140293113574623	0.914972191323693	65	False	True	False
spon1b	0.08435184891697789	4	20	1	3	2	0.0644719996358308	0.9182958340544894	10	0.02	0.8100636076871807	0.3756173526140156	66	True	True	False
lmo2	0.08319863496692201	4	20	2	3	2	0.0262988960208096	0.9182958340544894	7	0.02	2.605728380452692	0.6065406006674082	67	True	True	False
snai2	0.08068216531222003	3	20	0	3	1	0.0531059304075851	0.0	12	0.025	3.162952990156348	0.7055839822024471	68	False	True	False
foxa2	0.07689164916667586	4	20	2	4	2	0.0392588596340062	1.0	18	0.0142857142857142	1.626784308498697	0.5066518353726363	69	True	True	False
noto	0.07435029465287923	3	20	0	4	2	0.0504509157666307	0.8112781244591328	4	0.05	1.0734264979694825	0.4728364849833148	70	False	True	False
rrbp1b	0.07230319632827822	3	14	1	2	2	0.0538785278521252	1.0	3	0.0233333333333333	8.96699723689082	0.789098998887653	71	True	True	False
gata2a	0.07024077140698116	2	20	4	2	2	0.035683308246005005	1.0	8	0.02	8.574010101670028	0.6588654060066741	72	False	True	False
anp32e	0.06959484567141357	4	20	1	2	1	0.0576617967544863	0.0	3	0.0333333333333333	27.327013627342613	0.9867408231368187	73	True	True	False
sox5	0.06627520554005616	2	20	6	4	1	0.0760944692588871	0.0	12	0.0142857142857142	10.321664585113968	0.8302113459399333	74	False	True	False
zbtb18	0.05911873847922515	4	20	1	6	1	0.0552948310677843	0.0	17	0.0142857142857142	1.7867087466020053	0.7060289210233592	75	True	True	False
nop58	0.05886157480643238	4	20	1	1	1	0.072547562597311	0.0	2	0.05	44.75369395956327	0.994972191323693	76	False	True	False
gata6	0.0574821208393046	4	20	4	4	2	0.0299571002846261	0.8112781244591328	16	0.0166666666666666	1.3701227492428079	0.33268075639599554	77	True	True	False
tbxta	0.05599845650498919	2	20	4	3	2	0.0290999993925722	0.9182958340544894	7	0.025	5.273297621082506	0.5633815350389322	78	False	True	False
