gene	n_candidate_peaks_tested	n_significant_positive_links	latent_mask_fraction	mask_low_center	mask_high_center	control_p99	n_enhancers_retained	rank_eligible	note	median_difference_structure_score	mean_difference_structure_score	top3_mean_difference_structure_score	max_difference_structure_score	std_difference_structure_score	absolute_divergence_score	absolute_rank
tuba1a	36	24	0.24115684093437154	0.03594492037375548	0.1957194062087791	81.29252724776939	24	True		1.1434063450321248	1.1250641643013106	1.7175504832229265	2.019981838282378	0.39635993670921743	1.3730640003084456	78.0
apoc1	63	55	0.03368186874304783	0.016602423419077042	0.22520758893374168	50.96325342300617	55	True		1.003678606765305	1.0244817374678268	1.925403550767338	2.049545541126898	0.4117212504390143	1.3723685843661182	79.0
cd63	49	40	0.01303670745272525	0.020948498151740626	0.3741941146896871	31.409310808880196	40	True		0.9920546133359569	1.022968020243297	1.9335670616024245	1.9951536742581681	0.4246650683942862	1.368659592642544	80.0
cxcr4a	52	38	0.03328142380422692	0.020732406564931558	0.1932771436837229	17.68015830001126	38	True		1.0646394286047451	1.111409661973592	1.8231427040180759	1.9531657595123255	0.36764360377106875	1.3680407387700773	81.0
anp32e	54	29	0.25174638487208006	0.1208373966720593	0.38126237272308533	111.69212644752633	29	True		1.0397125650772174	1.0462827380763278	1.8593926389148032	2.1538728400383325	0.4576754373360372	1.3675845946122518	82.0
gmnn	51	21	0.10340378197997775	0.05992539635652431	0.20934925626662032	11.557190869371382	21	True		1.2578781360181555	1.1926877138559175	1.531874901633148	1.6487718473946908	0.271273903139066	1.3674768422641526	83.0
tram1	76	49	0.013170189098998888	0.02532519355126877	0.7047051311201987	184.67216871931126	49	True		0.9969067031290462	1.050943289212748	1.9110755014961318	2.0486581158472426	0.38897490127020923	1.3625742224758803	84.0
lhx5	58	40	0.0142825361512792	0.008700993964110606	0.4650185553490338	75.90405325455694	40	True		0.9890121116916584	1.0447585597964888	1.9216162639780565	1.966560888008818	0.4570209422381052	1.3620537726062176	85.0
lft1	46	35	0.005784204671857619	0.007238829149623588	0.315522912538539	81.80094815064429	35	True		1.1044409376192232	1.0628845095584076	1.7453076424461915	1.8166264562642582	0.41608287422051005	1.3607876195500106	86.0
krt18a.1	72	66	0.09299221357063404	0.035631828115007966	0.3274039167745582	202.26229650079677	66	True		1.0156912759945143	1.0304639250249463	1.8779773858556412	1.9823001819907018	0.40067023087079323	1.360605719938965	87.0
id3	87	61	0.024026696329254728	0.0233283130920291	0.3268273941016332	125.6397426623138	61	True		0.936140692165086	1.0310029960681897	1.9932567701474895	2.044066702435739	0.4895472533458944	1.3589871233580473	88.0
si:dkey-261m9.12	47	40	0.12760845383759734	0.03160788673368155	0.14044418423055882	23.49095929684204	40	True		1.0481643623641734	0.9742360072416743	1.8203448520045329	1.8650784629031387	0.45328069351833694	1.3570365582203172	89.0
cdx4	77	57	0.2872525027808676	0.023090415255658202	0.38817361624081614	168.13627209378973	57	True		1.058559975618504	1.0235462057079119	1.802028837162654	1.9613623728262815	0.4424834608199248	1.355947520236164	90.0
emx3	60	39	0.01975528364849833	0.00998648347332327	0.3145110681479226	64.46329918659227	39	True		1.056126686911859	1.0517172505692456	1.7986100230443876	1.9013053377361622	0.48904714691693335	1.3531200213648704	91.0
rpl5a	33	27	0.4593548387096774	0.10009084352987	0.21243057351410657	38.93683029814722	27	True		1.0660670722023824	1.084923722684837	1.774870082728204	1.8269138087566321	0.4381347116293782	1.3495882764127112	92.0
eif3ea	67	42	0.4084983314794216	0.0883525281427791	0.2045970564713239	25.588739035366686	42	True		1.0828512522313656	1.1021914944900566	1.7491566130342469	1.806451919632019	0.392440348329346	1.349373396552518	93.0
sp5l	53	40	0.07799777530589544	0.04431131031812237	0.29432788808519356	126.62890871133041	40	True		1.0571114667181432	1.0159661666342559	1.7873615327592944	1.8744002212871491	0.39100685948494945	1.3492114931346038	94.0
cdx1a	42	38	0.07866518353726362	0.02100506763749689	0.3497094975790511	23.334167739616905	38	True		1.0066891234804467	1.0337823583081271	1.8605776273115122	2.0029459059716737	0.3908055415648902	1.348244525012873	95.0
map2k6	40	16	0.28338153503893215	0.07273030291795878	0.16939655914145935	16.709504701519336	16	True		1.1274829742222858	1.2305901327344335	1.6778106556092662	1.9372264817000096	0.2769178337461482	1.347614046777078	96.0
krt8	81	72	0.14117908787541714	0.045504200075802595	0.3430623659719124	247.77319902499679	72	True		0.9712620407412089	1.0376799144222848	1.910553663070661	1.9736154879900767	0.3894321578004745	1.3469786896729898	97.0
dkk1b	53	43	0.0014238042269187987	0.007458774058107039	0.14542753683223908	28.70444485222565	43	True		1.0488946025235422	1.0817381603643852	1.782469718504289	1.9423078564365261	0.37344676686414446	1.3423246489158411	98.0
si:ch211-161h7.4	32	17	0.2511679644048943	0.09617271611618952	0.26717817918770964	13.78963321905074	17	True		1.1645446993877457	1.1785865654781222	1.604446293977874	1.7924092933791291	0.3159772758834003	1.3405053372237972	99.0
tfap2a	57	51	0.12845383759733037	0.02590930595828718	0.30292372760331565	75.09971390282888	51	True		0.9044054420778341	0.9774862391229783	1.9911887143351468	2.1681010564337893	0.4584413541466777	1.3391187509807594	100.0
map1lc3b	28	15	0.05610678531701891	0.03389766861119793	0.1381304951613979	8.326040483633642	15	True		1.249805098214542	1.1609582298194758	1.4713045303362202	1.5317522841097377	0.27960814876365686	1.3384048710632133	101.0
nap1l1	62	45	0.26473859844271413	0.06294555728284813	0.2176047979558084	19.7272384874084	45	True		1.1144437707927524	1.0781479810416585	1.668641233000517	1.7549410061196098	0.3494599946799458	1.3361227556758584	102.0
igfbp1a	29	26	0.0036929922135706342	0.007772734528501088	0.07050306474681002	9.43475922736355	26	True		1.2337067329592648	1.2340674711396875	1.4892201074995448	1.5277339687979326	0.16011189591868435	1.3359120827753768	103.0
nkx2.2a	42	30	0.0046718576195773085	0.00938456463358881	0.3196536678622218	18.548387337091174	30	True		1.12780070133774	1.0755225872758534	1.6473895432818033	1.8312386998742212	0.3669429367898052	1.3356362381153652	104.0
