gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	screen_rank
SH2D4A	20	0	0	20	0	0.0	0.0	0.0	9112
IFI27L1	20	0	0	20	0	0.0	0.0	0.0	9113
PITHD1	20	0	0	20	0	0.0	0.0	0.0	9114
HCFC1R1	20	0	0	20	0	0.0	0.0	0.0	9115
SLC12A9	20	0	0	20	0	0.0	0.0	0.0	9116
MRPL21	20	0	0	20	0	0.0	0.0	0.0	9117
TGM3	20	0	0	20	0	0.0	0.0	0.0	9118
SLA	20	0	0	20	0	0.0	0.0	0.0	9119
CAMK1	20	0	0	20	0	0.0	0.0	0.0	9120
QPCTL	20	0	0	20	0	0.0	0.0	0.0	9121
GABRD	20	0	0	20	0	0.0	0.0	0.0	9122
E2F6	20	0	0	20	0	0.0	0.0	0.0	9123
PHRF1	20	0	0	20	0	0.0	0.0	0.0	9124
CAPN13	20	0	0	20	0	0.0	0.0	0.0	9125
DRAM1	20	0	0	20	0	0.0	0.0	0.0	9126
PCDHGA12	20	0	0	20	0	0.0	0.0	0.0	9127
MTRF1L	18	0	0	18	0	0.0	0.0	0.0	9128
ABHD16A	20	0	0	20	0	0.0	0.0	0.0	9129
NMT1	20	0	0	20	0	0.0	0.0	0.0	9130
TMEM106B	19	0	0	19	0	0.0	0.0	0.0	9131
LAMTOR3	13	0	0	13	0	0.0	0.0	0.0	9132
CUL9	20	0	0	20	0	0.0	0.0	0.0	9133
ACE2	20	0	0	20	0	0.0	0.0	0.0	9134
KRT73	20	0	0	20	0	0.0	0.0	0.0	9135
ERICH5	20	0	0	20	0	0.0	0.0	0.0	9136
PLEKHJ1	20	0	0	20	0	0.0	0.0	0.0	9137
SMR3B	8	0	0	8	0	0.0	0.0	0.0	9138
GPRC5D	20	0	0	20	0	0.0	0.0	0.0	9139
PCDHB7	19	0	0	19	0	0.0	0.0	0.0	9140
CCT2	20	0	0	20	0	0.0	0.0	0.0	9141
SHE	20	0	0	20	0	0.0	0.0	0.0	9142
IL27	14	0	0	14	0	0.0	0.0	0.0	9143
FES	20	0	0	20	0	0.0	0.0	0.0	9144
