gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	screen_rank
bcl2l1	20	0	0	20	0	0.0	0.0	0.0	303
si:dkey-261m9.12	20	0	0	20	0	0.0	0.0	0.0	304
epcam	20	0	0	20	0	0.0	0.0	0.0	305
pbx1b	20	1	0	19	0	0.0	0.0	0.0	306
cenpf	20	0	0	20	0	0.0	0.0	0.0	307
supt16h	20	0	0	20	0	0.0	0.0	0.0	308
mcm2	18	0	0	18	0	0.0	0.0	0.0	309
ptp4a2b	20	0	0	20	0	0.0	0.0	0.0	310
tuba8l4	20	0	0	20	0	0.0	0.0	0.0	311
gapdh	20	1	0	19	0	0.0	0.0	0.0	312
unga	20	0	0	20	0	0.0	0.0	0.0	313
mespab	20	0	0	20	0	0.0	0.0	0.0	314
dand5	20	0	0	20	0	0.0	0.0	0.0	315
vox	20	0	0	20	0	0.0	0.0	0.0	316
oclna	15	0	0	15	0	0.0	0.0	0.0	317
zeb1a	20	0	0	20	0	0.0	0.0	0.0	318
itgb5	20	0	0	20	0	0.0	0.0	0.0	319
si:ch211-113a14.12	20	0	0	20	0	0.0	0.0	0.0	320
dkk1b	20	0	0	20	0	0.0	0.0	0.0	321
cdc14b	20	0	0	20	0	0.0	0.0	0.0	322
nkx2.2a	20	0	0	20	0	0.0	0.0	0.0	323
zc4h2	20	0	0	20	0	0.0	0.0	0.0	324
h1-0	20	0	0	20	0	0.0	0.0	0.0	325
rpl19	20	0	0	20	0	0.0	0.0	0.0	326
rps3	20	0	0	20	0	0.0	0.0	0.0	327
rasl11b	20	0	0	20	0	0.0	0.0	0.0	328
mcm4	12	0	0	12	0	0.0	0.0	0.0	329
lratb.1	20	0	0	20	0	0.0	0.0	0.0	330
her11	20	0	0	20	0	0.0	0.0	0.0	331
cdca8	20	0	0	20	0	0.0	0.0	0.0	332
rhov	20	0	0	20	0	0.0	0.0	0.0	333
fnbp1l	20	0	0	20	0	0.0	0.0	0.0	334
