cell	x	y	z	x_standardized	y_standardized	z_standardized	domain
E1_30.0	726.9157494111537	-1269.2382778756896	4.528515408428065	-0.2953367902977067	-1.4801174001336028	-1.3733043892660661	0
E1_31.0	740.9872225325165	-1293.2149297512965	-1.4606019544877207	-0.1660746437938953	-1.5323572280007107	-1.4500606501663709	0
E1_33.0	740.1330260692479	-1305.1437601517118	-9.31252708217141	-0.17392138929280396	-1.5583475143011765	-1.5506905722650643	0
E1_34.0	750.0107956849535	-1324.4355968261202	-16.785325326036435	-0.08318307837226474	-1.6003801647454514	-1.6464616211366456	0
E1_35.0	733.362408086926	-1324.2418892560902	-25.148766040391596	-0.23611705324383325	-1.5999581187413878	-1.753647104171285	0
E1_36.0	739.1384727649211	-1324.5195104578952	10.617404414559152	-0.18305746863723096	-1.600562994012122	-1.295269459437932	0
E1_37.0	733.4070026552648	-611.9009037660286	-26.165004687204323	-0.23570740248615044	-0.04792447126845694	-1.7666711733262357	0
E1_38.0	736.1597239818727	-614.3594171325655	0.21089302785425232	-0.21042059247448502	-0.05328102879547066	-1.4286388450515468	0
E1_39.0	726.9945324855771	-739.2476302915833	-13.669738111812022	-0.29461308004929776	-0.3253848567988807	-1.6065323944106162	0
E1_42.0	752.356685381487	-778.7718091164064	-19.379586771663906	-0.06163346981175554	-0.4114993113569899	-1.679709560072883	0
E1_44.0	728.6696606188348	-785.389254259079	16.35439330353427	-0.2792251632117153	-0.42591726249406864	-1.2217444658101662	0
E1_45.0	700.9908998740897	-773.822263693356	22.37021132573878	-0.5334853956389419	-0.4007153452610548	-1.1446460104517489	0
E1_46.0	703.8644435059039	-781.572886811293	19.708374173939784	-0.5070886982415137	-0.41760224088119663	-1.1787599966231834	0
E1_47.0	723.8173815532157	-797.2077738765512	-20.456093205213932	-0.3237987485106997	-0.4516672059667394	-1.6935060184936266	0
E1_49.0	726.4040472746141	-802.941440396468	11.248072268713047	-0.3000373441039233	-0.46415959871622847	-1.2871868483582745	0
E1_50.0	744.8291151842516	-812.2525175514259	15.464686315282657	-0.130782582577749	-0.48444637897044807	-1.2331469108745952	0
E1_51.0	728.3795227131956	-815.2753813802173	-26.49664598723517	-0.28189040288787304	-0.4910325314866977	-1.770921473430238	0
E1_52.0	723.3818398542202	-809.7358910020782	14.406513188832355	-0.3277996839080466	-0.4789632056556007	-1.2467084104495456	0
E1_53.0	761.1324254928501	-843.111881374525	22.84509501097786	0.018981473213095974	-0.5516821157434895	-1.1385599223301157	0
E1_55.0	779.2561037837665	-854.33301053829	16.66116677593817	0.18546763555183338	-0.5761304773842588	-1.2178128706754763	0
E1_57.0	765.644666245058	-851.8397062182951	-2.331933068245189	0.060431428036012494	-0.5706981180551667	-1.4612275908431789	0
E1_58.0	777.875279325726	-861.5768227128651	-17.319834467908496	0.17278322562176612	-0.5919131439160467	-1.6533118664501145	0
E1_59.0	616.4290326678369	-766.2320723137561	5.322714693913433	-1.3102802893346106	-0.38417799495852556	-1.3631259666589206	0
E1_60.0	725.2407137462211	-833.4110831556964	15.644289832359206	-0.31072385771077754	-0.53054621938255	-1.2308451202133033	0
E1_61.0	614.0909180716524	-773.5860745915702	-8.176092735433977	-1.3317584749423323	-0.4002007413836914	-1.5361260803827783	0
E1_62.0	733.7874074174093	-844.2482515271166	-14.424363725704358	-0.23221296123817478	-0.55415801527578	-1.6162036426083262	0
E1_63.0	724.4843746735551	-841.9176553424745	28.97276406690983	-0.3176716741315821	-0.5490801610305296	-1.0600279891140238	0
E1_65.0	776.8745781617547	-870.779503216264	1.614484876491789	0.1635906713420434	-0.6119637518119156	-1.4106504745449597	0
