gene	n_links_raw	n_links_pass_filter	control_p99	mask_low_center	mask_high_center	note	n_enhancers_retained	median_difference_structure_score	mean_difference_structure_score	top3_mean_difference_structure_score	max_difference_structure_score	std_difference_structure_score	divergent_fraction_top10pct	gene_divergence_score	rank_eligible	global_divergent_threshold_top10pct	eligible_rank	absolute_divergence_score	absolute_rank
CST3	23	7	1.7006043767929075	0.0218749581757897	0.3139091102092542		7.0	0.1039228942480069	0.0969055853269336	0.1208386042569739	0.1279408941289378	0.0251453507648192	0.0	0.0717788087634462	True	0.8145272979243852	96.0	0.11068917825159369	96.0
TTYH1	29	14	1.4816045761108398	0.0174053840531513	0.3543345711908755		14.0	0.0984968618077821	0.1015647336953073	0.1251266413951364	0.1327429057812068	0.014800335224452	0.0	0.0706804050718969	True	0.8145272979243852	97.0	0.10914877364272382	97.0
SPARCL1	27	15	1.8486975717544556	0.0243279017846913	0.3469652618264053		15.0	0.0955997394536511	0.0966623894547504	0.1280392450429672	0.146221121163865	0.0211081952412086	0.0	0.0702497070422022	True	0.8145272979243852	98.0	0.10857554168937755	98.0
FABP7	28	11	1.7917594909667969	0.0329401975140474	0.3759153468290993		11.0	0.0965602612123552	0.0931526258227861	0.1237600563176982	0.1382239651109786	0.0245335798184793	0.0	0.0695641185643666	True	0.8145272979243852	99.0	0.1074401792544924	99.0
HOPX	30	19	1.497666742801667	0.0104390063150836	0.3127438916234837		19.0	0.0936099751176671	0.0935029061317727	0.1148106172497804	0.1158893413701019	0.0138515967981493	0.0	0.0661466443595119	True	0.8145272979243852	100.0	0.10209023197051242	100.0
HSPB1	46	7	1.2745694541931152	0.0181786194346323	0.3791856349974236		7.0	0.0979526027292664	0.0957979559163972	0.106357599135408	0.1162353823007384	0.0123406054394963	0.0	0.0657704408755586	True	0.8145272979243852	101.0	0.10131460129172304	101.0
GPM6B	50	29	1.4730380964279206	0.0134303871478066	0.3462772337988555		29.0	0.0829685264042058	0.0875649607616399	0.1188651161280406	0.1228264081459133	0.0139072639038498	0.0	0.0629036895936925	True	0.8145272979243852	102.0	0.09732716229373972	102.0
PCP4	49	9	1.9889390850067137	0.0321639112707298	0.3752915434585258		9.0	0.056714890045177	0.0610693096721968	0.0766426276341271	0.0964152760022174	0.0142998091600095	0.0	0.0418466129266026	True	0.8145272979243852	103.0	0.06468598508075704	103.0
CKB	37	9	1.435084581375122	0.0298296609134626	0.3304120610279938		9.0	0.051688429327702	0.0570238287026427	0.0718618667418804	0.0760567592965298	0.0116015521570314	0.0	0.0386408384165509	True	0.8145272979243852	104.0	0.05975780429337336	104.0
PROM1	45	7	0.6299545043706893	0.001038033868923	0.4203217494074583		7.0	0.0435738527903046	0.0409326181203584	0.0444441164053926	0.044577698708449	0.0046187454496422	0.0	0.02854057021747	True	0.8145272979243852	105.0	0.043921958236339806	105.0
