gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	core_threshold	mixed_complexity_score	threshold_rank
myod1	20	8	2	10	1	0.0181558749995023	0.0	0.01994626738597534	0.35	0.04592797794382013	84
fbln2	20	3	2	15	1	0.025873441866133	0.0	0.028424881184273665	0.35	0.045748081434404744	85
cdx4	20	10	1	9	1	0.0256382693835261	0.0	0.017771094137627483	0.35	0.04415950999659908	86
atp2b1a	20	1	3	16	1	0.027316226766486602	0.0	0.0378683311334526	0.35	0.0416026139345642	87
foxd3	20	2	2	16	2	0.0134759051148928	1.0	0.029609589920293333	0.35	0.041047607541575	88
uncx4.1	20	3	2	15	1	0.0179008614263497	0.0	0.019666106340732726	0.35	0.031651377134735904	89
vgll4l	20	4	2	14	1	0.0156283260842252	0.0	0.017169471087442167	0.35	0.03076356240256181	90
alcamb	20	1	2	17	1	0.022927599906834	0.0	0.02518854300731364	0.35	0.02767244288147995	91
ved	20	3	2	15	1	0.012860628744972999	0.0	0.014128844779225666	0.35	0.022739498446582393	92
zswim5	20	1	2	17	1	0.018555991774783502	0.0	0.020385840592201523	0.35	0.02239613498942177	93
six3b	20	1	2	17	1	0.0180691597632944	0.0	0.019851000961862583	0.35	0.021808553599064702	94
tcf3b	20	1	2	17	1	0.0173243528007281	0.0	0.019032746880101675	0.35	0.020909609609589326	95
foxd5	20	1	2	17	1	0.016044514811860998	0.0	0.017626701138027997	0.35	0.019364910478917714	96
nr2f2	20	8	1	11	1	0.0102825405180645	0.0	0.007127313969089808	0.35	0.016411246898314417	97
rx3	20	6	1	13	1	0.0112269851763694	0.0	0.0077819531211887494	0.35	0.016182116595604944	98
sox3	20	5	1	14	1	0.0107054720297075	0.0	0.007420467753955108	0.35	0.01443956351315893	99
sox2	20	8	1	11	1	0.008891577429234	0.0	0.006163171825803994	0.35	0.014191227571657174	100
rasgef1ba	20	4	1	15	1	0.0105184044866221	0.0	0.007290802413891188	0.35	0.013063364263360296	101
fgf8a	20	2	1	17	1	0.0122172927065257	0.0	0.008468381993603872	0.35	0.011739670205542264	102
krt4	20	16	1	3	1	0.0057292852456454	0.0	0.003971237914642802	0.35	0.011478353912370015	103
